"lat" "long" "id" "nome" "nil" "nilname"
"67" 45.4764271 9.2242174 216 "Romagna - Pascoli" 22 "CITTA' STUDI"
"68" 45.4916658381144 9.19200539588928 160 "Zara M3" 11 "ISOLA"
"69" 45.4676911396203 9.16696697473526 41 "Conciliazione" 7 "MAGENTA - S. VITTORE"
"70" 45.464683238626 9.18879747390747 1 "Duomo" 1 "DUOMO"
"71" 45.4530263415011 9.18699234724045 37 "Italia - San Martino" 5 "VIGENTINA"
"72" 45.4748688213867 9.2111000418663 118 "VIII novembre" 21 "BUENOS AIRES - VENEZIA"
"73" 45.462188759969 9.21248942613602 130 "XXII Marzo" 26 "XXII MARZO"
"74" 45.4816074111582 9.17810618877411 188 "Sarpi Niccolini" 69 "SARPI"
"75" 45.4699634186844 9.17543739080429 101 "Gadio - Paleocapa" 8 "PARCO SEMPIONE"
"76" 45.4819891714969 9.16837781667709 186 "Procaccini - Gramsci" 69 "SARPI"
"77" 45.4623797062408 9.19532999396324 9 "S. Stefano" 1 "DUOMO"
"78" 45.5025055943553 9.16500096922391 254 "Bausan - Brofferio" 77 "BOVISA"
"79" 45.4907867140992 9.20232927208417 318 "Gioia - Carissimi" 12 "MACIACHINI - MAGGIOLINA"
"80" 45.48096424257 9.2351245880127 122 "Bassini - Grossich" 22 "CITTA' STUDI"
"81" 45.4634830432151 9.16358470916748 170 "S.M. del Carso" 51 "WASHINGTON"
"82" 45.4545179837016 9.15470793843269 172 "Napoli - Washington" 50 "TORTONA"
"83" 45.4633776956896 9.15732443332672 171 "Elba - Cimarosa" 51 "WASHINGTON"
"84" 45.4775338860989 9.18455958366394 16 "Moscova" 2 "BRERA"
"85" 45.4808626889639 9.1970694065094 107 "S.Gioachimo" 9 "GARIBALDI REPUBBLICA"
"86" 45.4867487346913 9.18500751256942 193 "Garibaldi Pepe" 9 "GARIBALDI REPUBBLICA"
"87" 45.4501155039721 9.20677229762077 143 "Lodi - Papi" 27 "PORTA ROMANA"
"88" 45.4704885220331 9.22590594302164 283 "Reni - Guardi" 22 "CITTA' STUDI"
"89" 45.4606423535282 9.20560151338577 68 "Rotonda della Besana" 4 "GUASTALLA"
"90" 45.4558749407225 9.18748252093792 19 "Santa Sofia" 1 "DUOMO"
"91" 45.4585992259681 9.18145626783371 12 "San Lorenzo - \Colonne\" 1 "DUOMO"
"92" 45.4714719507122 9.20500606298447 73 "Majno - Baretti" 4 "GUASTALLA"
"93" 45.492624764286 9.19902205467224 168 "Piazza Carbonari" 12 "MACIACHINI - MAGGIOLINA"
"94" 45.4488980632437 9.17986571788788 152 "San Gottardo - Gentilino" 6 "TICINESE"
"95" 45.4847643315369 9.15658282935681 225 "Chiesa - E. Filiberto" 67 "PORTELLO"
"96" 45.4734835774208 9.23058360815048 159 "Gorini - Strambio" 22 "CITTA' STUDI"
"97" 45.4870984931302 9.20348793268204 201 "IV Novembre" 10 "CENTRALE"
"98" 45.4864153338653 9.16599880467402 239 "Marussig - Castelvetro" 69 "SARPI"
"99" 45.4872733715353 9.19470772147178 106 "Restelli - Galvani RL 1" 11 "ISOLA"
"100" 45.4774342070483 9.20493096113204 109 "Tunisia Lecco Bellintani" 21 "BUENOS AIRES - VENEZIA"
"101" 45.4845899624971 9.20430332422256 26 "Centrale 2" 10 "CENTRALE"
"102" 45.4426254033088 9.21919226646423 31 "Brenta MM" 35 "LODI - CORVETTO"
"103" 45.4738943579902 9.15108035796948 259 "Amendola M1" 59 "TRE TORRI"
"104" 45.486803267064 9.19807523488998 121 "Melchiorre Gioia - Galvani" 9 "GARIBALDI REPUBBLICA"
"105" 45.4682554558846 9.16047066450119 175 "Pagano - Guido D'Arezzo" 68 "PAGANO"
"106" 45.4731290322501 9.18999642133713 70 "Fatebenefratelli" 2 "BRERA"
"107" 45.484605 9.195127 90 "Gioia - Sassetti" 9 "GARIBALDI REPUBBLICA"
"108" 45.4617570120737 9.18192163109779 76 "Mentana" 1 "DUOMO"
"109" 45.4583264270911 9.19257804751396 69 "S. Nazaro in Brolo" 1 "DUOMO"
"110" 45.4406659126486 9.21324049835675 149 "Bonomelli" 36 "SCALO ROMANA"
"111" 45.4669156187816 9.15028366146998 232 "De Angeli - R. Sanzio" 58 "DE ANGELI - MONTE ROSA"
"112" 45.4793882604319 9.19747173786163 67 "Repubblica" 10 "CENTRALE"
"113" 45.468812242395 9.18505981564522 75 "Cusani" 2 "BRERA"
"114" 45.4824649578546 9.20681655406951 119 "Settembrini - Vitruvio" 21 "BUENOS AIRES - VENEZIA"
"115" 45.4911667668979 9.16105141644948 236 "Mac Mahon - Caracciolo" 70 "GHISOLFA"
"116" 45.4557921565137 9.17277932167053 15 "Cantore" 44 "NAVIGLI"
"117" 45.4771276458445 9.1809868812561 17 "Legnano Arena civica" 8 "PARCO SEMPIONE"
"118" 45.4707553089853 9.15540397167205 176 "Buonarroti" 68 "PAGANO"
